duration,protocol_type,service,src_bytes,dst_bytes,flag,count,srv_count,label
89,udp,dns,218,43951,REJ,5,91,normal
773,icmp,smtp,2117,23875,SF,46,66,normal
654,tcp,dns,10956,49238,SF,45,17,probe
438,icmp,http,44207,38071,SF,25,12,dos
433,udp,smtp,22946,32544,REJ,12,87,normal
858,tcp,dns,35478,45166,SF,4,27,normal
85,tcp,ftp,20578,25753,S0,0,76,dos
697,udp,dns,8656,36034,REJ,48,13,normal
201,tcp,smtp,18557,14236,S0,8,28,normal
94,tcp,smtp,4586,48160,S0,95,28,normal
526,udp,smtp,38512,31168,REJ,24,28,dos
975,icmp,ftp,9176,39100,SF,65,67,probe
735,tcp,smtp,18818,23036,S0,67,91,normal
761,tcp,ftp,49001,43340,SF,49,91,normal
717,tcp,dns,29598,3708,SF,88,74,normal
786,udp,dns,22928,5705,S0,11,20,normal
513,icmp,http,27150,25355,REJ,23,96,normal
128,icmp,ftp,39204,36620,SF,25,54,normal
839,icmp,http,12724,40460,REJ,13,54,dos
450,icmp,http,31820,22004,REJ,29,70,normal
500,tcp,ftp,43634,32483,S0,31,76,normal
370,tcp,ftp,28620,27655,S0,76,95,normal
182,udp,http,22327,48076,SF,30,58,probe
926,icmp,ftp,7256,32705,SF,87,61,dos
781,icmp,dns,12414,20842,REJ,77,74,normal
643,tcp,http,47301,48490,SF,90,25,probe
402,tcp,ftp,27062,5362,SF,10,30,normal
822,tcp,ftp,15067,49228,SF,98,62,normal
545,tcp,dns,20918,7700,SF,61,6,probe
443,udp,ftp,28900,14411,S0,98,32,normal
450,udp,dns,26877,41073,SF,35,71,normal
227,udp,ftp,34988,36687,SF,95,97,normal
92,tcp,ftp,12874,48517,S0,58,51,normal
554,icmp,ftp,32461,37499,SF,7,39,dos
887,udp,http,22133,31850,S0,41,44,normal
63,icmp,dns,47029,17324,SF,13,68,normal
858,icmp,http,7896,235,SF,94,54,normal
827,tcp,ftp,7421,6193,SF,30,2,normal
276,tcp,smtp,23082,14888,S0,22,53,normal
631,icmp,smtp,25417,2047,REJ,55,40,normal
165,udp,dns,34543,25408,REJ,42,70,probe
758,tcp,smtp,20201,38867,SF,9,87,normal
700,udp,smtp,45685,48162,SF,81,96,normal
354,udp,ftp,23708,24484,REJ,84,61,normal
67,icmp,smtp,6466,43750,SF,74,36,normal
970,tcp,ftp,5960,49277,REJ,61,44,normal
445,icmp,ftp,48670,42991,S0,40,17,dos
893,icmp,dns,6704,23248,S0,54,93,normal
677,tcp,smtp,47392,16263,REJ,52,84,probe
778,tcp,smtp,13903,48895,SF,16,85,probe
759,udp,ftp,4670,12095,SF,8,32,normal
194,tcp,dns,15235,20578,S0,25,32,normal
363,tcp,http,30734,3701,REJ,45,85,normal
466,udp,smtp,21395,39684,REJ,16,54,dos
497,icmp,dns,39279,32491,REJ,10,70,normal
43,icmp,dns,30549,4240,SF,85,48,probe
546,tcp,smtp,20039,11096,S0,37,44,dos
154,icmp,dns,31731,27773,S0,58,63,probe
743,tcp,http,48573,27020,S0,52,81,normal
683,icmp,ftp,20590,40102,S0,73,33,r2l
